ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
SOCS3,NM_003955.4,0.0663,0.000131,4.30919,1.052,0.911145,,2026-04-21T13:38:22.490663+00:00
PIK3R1,NM_181504.2,0.0663,0.000298,4.02618,0.329,0.62328,,2026-04-21T13:38:22.490663+00:00
TNFAIP3,NM_006290.2,0.0663,0.000313,4.00898,0.286,0.961649,,2026-04-21T13:38:22.490663+00:00
ECHS1,NM_004092.3,0.143,0.000947,-3.6183,-0.685,-0.280607,,2026-04-21T13:38:22.490663+00:00
MAP3K8,NM_001244134.1,0.143,0.001126,3.55581,-0.837,0.626563,,2026-04-21T13:38:22.490663+00:00
MAPK3,NM_001040056.1,0.287,0.00297,-3.19892,-1.682,-0.324488,,2026-04-21T13:38:22.490663+00:00
RORA,NM_002943.3,0.287,0.003164,3.17522,-1.737,0.548991,,2026-04-21T13:38:22.490663+00:00
CEACAM3,NM_001815.3,0.3282,0.004596,3.03312,-2.06,0.982821,,2026-04-21T13:38:22.490663+00:00
CD69,NM_001781.1,0.3282,0.004957,3.004,-2.125,0.674367,,2026-04-21T13:38:22.490663+00:00
YES1,NM_005433.3,0.3282,0.005169,2.98783,-2.161,0.619744,,2026-04-21T13:38:22.490663+00:00
HLA-DQA1,NM_002122.3,0.332,0.006491,-2.89915,-2.357,-3.48693,,2026-04-21T13:38:22.490663+00:00
CEACAM1,NM_001712.4,0.332,0.006546,2.89582,-2.364,0.730645,,2026-04-21T13:38:22.490663+00:00
ARG1,NM_000045.3,0.332,0.008194,2.80714,-2.556,1.03974,,2026-04-21T13:38:22.490663+00:00
SLC2A3/14,NM_006931.2,0.332,0.009094,2.76556,-2.645,0.366103,,2026-04-21T13:38:22.490663+00:00
CCR2,NM_001123041.2,0.332,0.00948,-2.74887,-2.681,-0.584392,,2026-04-21T13:38:22.490663+00:00
CBLB,NM_170662.3,0.332,0.010283,2.71612,-2.75,0.40609,,2026-04-21T13:38:22.490663+00:00
HLA-DQB1,NM_002123.3,0.332,0.010465,-2.70903,-2.765,-3.07243,,2026-04-21T13:38:22.490663+00:00
BRWD1,NM_001007246.2,0.332,0.011287,2.67834,-2.829,0.464502,,2026-04-21T13:38:22.490663+00:00
BATF,NM_006399.3,0.332,0.011298,-2.67795,-2.83,-0.392659,,2026-04-21T13:38:22.490663+00:00
ID2,NM_002166.4,0.332,0.01165,2.66547,-2.856,0.31219,,2026-04-21T13:38:22.490663+00:00
CCNT1,NM_001240.2,0.332,0.012438,2.63874,-2.912,0.366977,,2026-04-21T13:38:22.490663+00:00
JARID2,NM_001267040.1,0.332,0.012698,2.63024,-2.929,0.290887,,2026-04-21T13:38:22.490663+00:00
ICOSLG,NM_015259.5,0.332,0.013044,2.61921,-2.952,0.51928,,2026-04-21T13:38:22.490663+00:00
CCL2,NM_002982.3,0.332,0.013358,-2.60942,-2.972,-0.815938,,2026-04-21T13:38:22.490663+00:00
FCAR,NM_133278.2,0.332,0.015117,2.55821,-3.077,0.63912,,2026-04-21T13:38:22.490663+00:00
GADD45A,NM_001199741.1,0.332,0.01632,2.52626,-3.141,0.477186,,2026-04-21T13:38:22.490663+00:00
TRPM7,NM_017672.4,0.332,0.016889,2.51189,-3.17,0.354277,,2026-04-21T13:38:22.490663+00:00
PTPN6,NM_002831.5,0.332,0.01702,-2.50865,-3.176,-0.286543,,2026-04-21T13:38:22.490663+00:00
CD180,NM_005582.2,0.332,0.017719,-2.49171,-3.21,-0.473431,,2026-04-21T13:38:22.490663+00:00
PPP2CB,NM_001009552.1,0.332,0.018771,-2.46734,-3.259,-0.271491,,2026-04-21T13:38:22.490663+00:00
PPM1A,NM_021003.4,0.332,0.019213,2.45747,-3.278,0.207952,,2026-04-21T13:38:22.490663+00:00
DCTN6,NM_006571.3,0.332,0.020222,2.4357,-3.321,0.248357,,2026-04-21T13:38:22.490663+00:00
PPP2R5A,NM_001199756.1,0.332,0.020615,-2.42748,-3.337,-0.237071,,2026-04-21T13:38:22.490663+00:00
CD200R1,NM_138806.3,0.332,0.020927,-2.42107,-3.35,-0.448084,,2026-04-21T13:38:22.490663+00:00
CD27,NM_001242.4,0.332,0.020938,-2.42083,-3.35,-0.434736,,2026-04-21T13:38:22.490663+00:00
IRF2,NM_002199.3,0.332,0.021004,-2.4195,-3.353,-0.292988,,2026-04-21T13:38:22.490663+00:00
RRAS,NM_006270.3,0.332,0.021552,-2.40847,-3.374,-0.429655,,2026-04-21T13:38:22.490663+00:00
TICAM1,NM_014261.1,0.332,0.021808,-2.40339,-3.384,-0.258669,,2026-04-21T13:38:22.490663+00:00
VAV3,NM_001079874.1,0.332,0.02237,2.39247,-3.405,0.325685,,2026-04-21T13:38:22.490663+00:00
ALDOA,NM_000034.3,0.332,0.022594,-2.38817,-3.414,-0.208768,,2026-04-21T13:38:22.490663+00:00
MMP9,NM_004994.2,0.332,0.022669,2.38674,-3.416,0.757363,,2026-04-21T13:38:22.490663+00:00
SF3B1,NM_001005526.1,0.332,0.022962,2.38121,-3.427,0.265166,,2026-04-21T13:38:22.490663+00:00
CISH,NM_145071.2,0.332,0.023896,-2.36397,-3.46,-0.629724,,2026-04-21T13:38:22.490663+00:00
TNFRSF1A,NM_001065.2,0.332,0.024645,-2.35059,-3.486,-0.357582,,2026-04-21T13:38:22.490663+00:00
JAK1,NM_002227.1,0.332,0.024774,2.34834,-3.49,0.192438,,2026-04-21T13:38:22.490663+00:00
CXCL1/2/3,NM_002090.3,0.332,0.025881,2.3293,-3.527,0.633694,,2026-04-21T13:38:22.490663+00:00
SLC7A5,NM_003486.5,0.332,0.026254,2.32306,-3.538,0.419703,,2026-04-21T13:38:22.490663+00:00
CD4,NM_000616.4,0.332,0.027492,-2.30288,-3.577,-0.266969,,2026-04-21T13:38:22.490663+00:00
MCL1,NM_021960.5,0.332,0.02757,2.30164,-3.579,0.221175,,2026-04-21T13:38:22.490663+00:00
TRIM33,NM_015906.3,0.332,0.027901,2.29639,-3.589,0.318876,,2026-04-21T13:38:22.490663+00:00
CLCF1,NM_013246.2,0.332,0.027993,2.29495,-3.592,0.411851,,2026-04-21T13:38:22.490663+00:00
SOCS1,NM_003745.1,0.332,0.028181,2.29199,-3.597,0.390479,,2026-04-21T13:38:22.490663+00:00
AK4,NM_001005353.1,0.332,0.029242,2.27571,-3.628,0.297476,,2026-04-21T13:38:22.490663+00:00
PIK3CA,NM_006218.2,0.332,0.029788,2.26753,-3.643,0.28548,,2026-04-21T13:38:22.490663+00:00
IL27RA,NM_004843.3,0.332,0.029893,-2.26597,-3.646,-0.279315,,2026-04-21T13:38:22.490663+00:00
CNTF,NM_000614.4,0.332,0.029988,2.26457,-3.649,0.373615,,2026-04-21T13:38:22.490663+00:00
MS4A1,NM_152866.2,0.332,0.030368,2.25898,-3.659,0.501583,,2026-04-21T13:38:22.490663+00:00
DNM1L,NM_001278463.1,0.332,0.030621,2.25531,-3.666,0.21001,,2026-04-21T13:38:22.490663+00:00
STAT4,NM_003151.2,0.332,0.030845,2.25208,-3.672,0.330468,,2026-04-21T13:38:22.490663+00:00
PRDM1,NM_182907.1,0.3324,0.031411,2.24399,-3.687,0.371264,,2026-04-21T13:38:22.490663+00:00
BCL6,NM_001706.2,0.3407,0.032732,2.22563,-3.721,0.502562,,2026-04-21T13:38:22.490663+00:00
CYP26C1,NM_183374.2,0.3424,0.033433,2.21615,-3.738,0.474213,,2026-04-21T13:38:22.490663+00:00
PML,NM_033238.2,0.3437,0.03431,2.20453,-3.759,0.184006,,2026-04-21T13:38:22.490663+00:00
KDM3A,NM_018433.6,0.3437,0.034645,2.20017,-3.767,0.260651,,2026-04-21T13:38:22.490663+00:00
HLA-DRB1/3,NM_002124.3,0.3471,0.036319,-2.17891,-3.806,-0.648808,,2026-04-21T13:38:22.490663+00:00
JUNB,NM_002229.2,0.3471,0.036949,2.17113,-3.82,0.493912,,2026-04-21T13:38:22.490663+00:00
JUN,NM_002228.4,0.3471,0.03715,2.16868,-3.825,0.771353,,2026-04-21T13:38:22.490663+00:00
PLCG2,NM_002661.2,0.3471,0.037228,2.16772,-3.826,0.457401,,2026-04-21T13:38:22.490663+00:00
PKN2,NM_006256.1,0.3471,0.037792,2.1609,-3.839,0.30057,,2026-04-21T13:38:22.490663+00:00
TOX,NM_014729.2,0.3471,0.038266,2.15524,-3.849,0.386522,,2026-04-21T13:38:22.490663+00:00
ITPR2,NM_002223.2,0.3504,0.040124,2.13364,-3.888,0.311163,,2026-04-21T13:38:22.490663+00:00
BLK,NM_001715.2,0.3504,0.040455,2.12988,-3.894,0.362288,,2026-04-21T13:38:22.490663+00:00
TAX1BP1,NM_001206901.1,0.3504,0.041738,2.11558,-3.92,0.20889,,2026-04-21T13:38:22.490663+00:00
PSMB10,NM_002801.3,0.3504,0.041816,-2.11472,-3.921,-0.20767,,2026-04-21T13:38:22.490663+00:00
TPP2,NM_003291.2,0.3504,0.041889,2.11392,-3.923,0.255026,,2026-04-21T13:38:22.490663+00:00
JUND,NM_005354.4,0.3504,0.041934,2.11343,-3.924,0.306145,,2026-04-21T13:38:22.490663+00:00
MAP2K2,NM_030662.3,0.3581,0.043424,-2.09735,-3.952,-0.184074,,2026-04-21T13:38:22.490663+00:00
ATR,NM_001184.2,0.3654,0.044887,2.08205,-3.979,0.319121,,2026-04-21T13:38:22.490663+00:00
HEY1,NM_012258.3,0.3669,0.045821,2.0725,-3.996,0.502446,,2026-04-21T13:38:22.490663+00:00
IL1R2,NM_173343.1,0.3669,0.046225,2.06843,-4.003,0.796886,,2026-04-21T13:38:22.490663+00:00
PIAS1,NM_016166.1,0.3677,0.047152,2.05919,-4.019,0.169862,,2026-04-21T13:38:22.490663+00:00
IL6R,NM_000565.2,0.3677,0.048241,-2.04855,-4.037,-0.250597,,2026-04-21T13:38:22.490663+00:00
RHEB,NM_005614.3,0.3677,0.048629,-2.04479,-4.044,-0.192886,,2026-04-21T13:38:22.490663+00:00
USP15,NM_001252078.1,0.3677,0.048638,2.04471,-4.044,0.311254,,2026-04-21T13:38:22.490663+00:00
CXCR3,NM_001504.1,0.368,0.049262,-2.03875,-4.054,-0.349467,,2026-04-21T13:38:22.490663+00:00
GK,NM_000167.3,0.3713,0.050822,2.02413,-4.079,0.417162,,2026-04-21T13:38:22.490663+00:00
ZBTB16,NM_006006.4,0.3713,0.050873,2.02365,-4.08,0.520228,,2026-04-21T13:38:22.490663+00:00
TNFSF10,NM_003810.2,0.3714,0.051876,-2.01446,-4.096,-0.367024,,2026-04-21T13:38:22.490663+00:00
AIFM1,NM_004208.2,0.3714,0.052061,-2.01278,-4.099,-0.173438,,2026-04-21T13:38:22.490663+00:00
DRAP1,NM_006442.2,0.3908,0.055394,-1.9834,-4.149,-0.206913,,2026-04-21T13:38:22.490663+00:00
PPP2CA,NM_002715.2,0.3923,0.056835,-1.97118,-4.169,-0.185216,,2026-04-21T13:38:22.490663+00:00
NFIL3,NM_001289999.1,0.3923,0.056838,1.97116,-4.169,0.378751,,2026-04-21T13:38:22.490663+00:00
NFKBIA,NM_020529.1,0.3937,0.05813,1.96043,-4.187,0.40019,,2026-04-21T13:38:22.490663+00:00
PBX3,NM_006195.5,0.3937,0.058279,1.9592,-4.189,0.251476,,2026-04-21T13:38:22.490663+00:00
PIK3CB,NM_006219.1,0.4061,0.060756,1.93923,-4.223,0.216285,,2026-04-21T13:38:22.490663+00:00
IL2RA,NM_000417.2,0.4122,0.062628,1.9246,-4.247,0.396656,,2026-04-21T13:38:22.490663+00:00
NFAT5,NM_173214.1,0.4122,0.063433,1.91843,-4.257,0.325239,,2026-04-21T13:38:22.490663+00:00
DUSP1,NM_004417.2,0.4122,0.064355,1.91143,-4.268,0.490725,,2026-04-21T13:38:22.490663+00:00
CD33,NM_001177608.1,0.4122,0.064436,-1.91082,-4.269,-0.507403,,2026-04-21T13:38:22.490663+00:00
ADORA2A,NM_000675.3,0.4122,0.065874,-1.9001,-4.287,-0.276591,,2026-04-21T13:38:22.490663+00:00
CCNT2,NM_058241.2,0.4122,0.065913,1.89982,-4.287,0.218455,,2026-04-21T13:38:22.490663+00:00
SMAD3,NM_001145104.1,0.4122,0.066215,1.89759,-4.291,0.237625,,2026-04-21T13:38:22.490663+00:00
HCST,NM_001007469.1,0.4124,0.0669,-1.89258,-4.299,-0.182837,,2026-04-21T13:38:22.490663+00:00
ROCK1,NM_005406.1,0.4229,0.070172,1.86922,-4.337,0.245273,,2026-04-21T13:38:22.490663+00:00
CD80,NM_005191.3,0.4229,0.070495,1.86696,-4.341,0.345332,,2026-04-21T13:38:22.490663+00:00
TRDC,,0.4229,0.071251,-1.86172,-4.349,-0.412094,ENST00000390477.1,2026-04-21T13:38:22.490663+00:00
IL12A,NM_000882.2,0.4229,0.071253,1.86171,-4.349,0.357384,,2026-04-21T13:38:22.490663+00:00
ATF4,NM_001675.2,0.4447,0.075639,1.83219,-4.396,0.159226,,2026-04-21T13:38:22.490663+00:00
TRDV2,,0.4452,0.077414,-1.82067,-4.415,-0.833317,ENST00000390469.1,2026-04-21T13:38:22.490663+00:00
XCL1/2,NM_002995.2,0.4452,0.07766,-1.81908,-4.417,-0.347812,,2026-04-21T13:38:22.490663+00:00
FCER1G,NM_004106.1,0.4452,0.077826,-1.81802,-4.419,-0.351295,,2026-04-21T13:38:22.490663+00:00
CD274,NM_014143.3,0.4475,0.078929,-1.811,-4.43,-0.146942,,2026-04-21T13:38:22.490663+00:00
MIF,NM_002415.1,0.4484,0.079789,-1.80559,-4.438,-0.22335,,2026-04-21T13:38:22.490663+00:00
ZFP36L2,NM_006887.4,0.4485,0.080522,1.80101,-4.445,0.31817,,2026-04-21T13:38:22.490663+00:00
OAS2,NM_016817.2,0.4545,0.082462,-1.78906,-4.464,-0.181583,,2026-04-21T13:38:22.490663+00:00
FZD2,NM_001466.2,0.4545,0.083021,-1.78566,-4.469,-0.354302,,2026-04-21T13:38:22.490663+00:00
KIR2DS1/4,NM_014512.1,0.4694,0.086777,1.76332,-4.504,0.900174,,2026-04-21T13:38:22.490663+00:00
KIR2DL5A/B,NM_020535.3,0.4694,0.087223,1.76072,-4.508,0.821386,,2026-04-21T13:38:22.490663+00:00
CRTAM,NM_019604.2,0.474,0.088833,-1.75143,-4.522,-0.274657,,2026-04-21T13:38:22.490663+00:00
SESN3,NM_001271594.1,0.4787,0.092496,1.73081,-4.553,0.296473,,2026-04-21T13:38:22.490663+00:00
PSME2,NM_002818.2,0.4787,0.092993,-1.72807,-4.558,-0.136101,,2026-04-21T13:38:22.490663+00:00
CSF3R,NM_000760.3,0.4787,0.093164,1.72713,-4.559,0.448252,,2026-04-21T13:38:22.490663+00:00
ITGAV,NM_002210.2,0.4787,0.094125,1.72186,-4.567,0.352765,,2026-04-21T13:38:22.490663+00:00
FADD,NM_003824.3,0.4787,0.09437,-1.72053,-4.569,-0.247639,,2026-04-21T13:38:22.490663+00:00
KIR3DL1/2,NM_001322168.1,0.4787,0.094886,1.71773,-4.573,0.433155,,2026-04-21T13:38:22.490663+00:00
DTX4,NM_015177.1,0.4787,0.094983,1.7172,-4.574,0.293697,,2026-04-21T13:38:22.490663+00:00
CAMK2D,NM_172127.1,0.4793,0.095859,1.71248,-4.581,0.196274,,2026-04-21T13:38:22.490663+00:00
PPP1CB,NM_002709.2,0.4817,0.097096,1.70587,-4.591,0.122315,,2026-04-21T13:38:22.490663+00:00
CSF1R,NM_005211.3,0.4842,0.098634,-1.69775,-4.603,-0.393035,,2026-04-21T13:38:22.490663+00:00
VDAC1,NM_003374.3,0.4842,0.099127,-1.69517,-4.607,-0.164771,,2026-04-21T13:38:22.490663+00:00
GSK3B,NM_002093.2,0.4927,0.101641,1.68218,-4.626,0.153663,,2026-04-21T13:38:22.490663+00:00
MRAS,NM_012219.4,0.509,0.105798,-1.66127,-4.657,-0.345387,,2026-04-21T13:38:22.490663+00:00
TNFSF9,NM_003811.3,0.5108,0.107406,1.65336,-4.668,0.334174,,2026-04-21T13:38:22.490663+00:00
BAX,NM_138761.3,0.5108,0.107933,-1.65079,-4.672,-0.124857,,2026-04-21T13:38:22.490663+00:00
IRAK4,NM_001114182.1,0.5108,0.108592,1.64759,-4.677,0.187798,,2026-04-21T13:38:22.490663+00:00
PTPN22,NM_012411.5,0.5122,0.110189,1.6399,-4.688,0.224782,,2026-04-21T13:38:22.490663+00:00
OAS1,NM_001032409.1,0.5122,0.110934,-1.63635,-4.693,-0.367416,,2026-04-21T13:38:22.490663+00:00
VTCN1,NM_001253849.1,0.5122,0.111554,-1.63341,-4.697,-0.265683,,2026-04-21T13:38:22.490663+00:00
NFKB2,NM_002502.2,0.5122,0.11213,1.63069,-4.701,0.170676,,2026-04-21T13:38:22.490663+00:00
ALDH1A1,NM_000689.4,0.5128,0.113052,-1.62635,-4.708,-0.484805,,2026-04-21T13:38:22.490663+00:00
TLR7,NM_016562.3,0.5137,0.114056,-1.62166,-4.714,-0.345528,,2026-04-21T13:38:22.490663+00:00
YY1,NM_003403.3,0.514,0.11494,-1.61756,-4.72,-0.108386,,2026-04-21T13:38:22.490663+00:00
OSM,NM_020530.4,0.5257,0.118715,1.60036,-4.745,0.458698,,2026-04-21T13:38:22.490663+00:00
CTLA4,NM_005214.3,0.5257,0.119672,1.59606,-4.751,0.291601,,2026-04-21T13:38:22.490663+00:00
TRAC,,0.5257,0.120049,-1.59438,-4.753,-0.261933,ENST00000611116.1,2026-04-21T13:38:22.490663+00:00
ITGB3,NM_000212.2,0.5385,0.123807,1.57783,-4.776,0.498427,,2026-04-21T13:38:22.490663+00:00
PSMB9,NM_002800.4,0.541,0.126064,-1.56809,-4.79,-0.13442,,2026-04-21T13:38:22.490663+00:00
MYSM1,NM_001085487.2,0.541,0.126085,1.568,-4.79,0.173547,,2026-04-21T13:38:22.490663+00:00
LAIR1,NM_001289023.2,0.5423,0.127237,-1.56308,-4.797,-0.142596,,2026-04-21T13:38:22.490663+00:00
CCR5,NM_000579.3,0.5512,0.130194,-1.55062,-4.814,-0.355837,,2026-04-21T13:38:22.490663+00:00
TIGIT,NM_173799.2,0.5539,0.131705,1.54434,-4.823,0.197282,,2026-04-21T13:38:22.490663+00:00
SELL,NM_000655.4,0.5551,0.133045,-1.53883,-4.83,-0.155662,,2026-04-21T13:38:22.490663+00:00
AKT3,NM_005465.4,0.5551,0.134173,1.53422,-4.837,0.204704,,2026-04-21T13:38:22.490663+00:00
CD3D,NM_000732.4,0.5551,0.134867,-1.53139,-4.841,-0.210722,,2026-04-21T13:38:22.490663+00:00
CD68,NM_001251.2,0.5551,0.135489,-1.52887,-4.844,-0.344534,,2026-04-21T13:38:22.490663+00:00
LCK,NM_005356.2,0.5569,0.136803,-1.52358,-4.851,-0.222241,,2026-04-21T13:38:22.490663+00:00
LAMTOR3,NM_001243736.1,0.56,0.138465,-1.51695,-4.86,-0.152213,,2026-04-21T13:38:22.490663+00:00
TIMP1,NM_003254.2,0.5655,0.140715,-1.50807,-4.872,-0.207029,,2026-04-21T13:38:22.490663+00:00
NOTCH2,NM_024408.3,0.5673,0.14204,-1.5029,-4.879,-0.203852,,2026-04-21T13:38:22.490663+00:00
HLA-DQB2,NM_001198858.1,0.5675,0.142992,-1.49921,-4.884,-0.475029,,2026-04-21T13:38:22.490663+00:00
PPP2R5E,NM_001282179.1,0.5743,0.145603,1.48917,-4.898,0.153333,,2026-04-21T13:38:22.490663+00:00
PRKAA1,NM_006251.5,0.5799,0.148125,1.47962,-4.91,0.127119,,2026-04-21T13:38:22.490663+00:00
TPSAB1/B2,NM_003294.3,0.5799,0.14951,1.47443,-4.917,0.457506,,2026-04-21T13:38:22.490663+00:00
CREBBP,NM_004380.2,0.5799,0.150314,1.47143,-4.921,0.156874,,2026-04-21T13:38:22.490663+00:00
GREM2,NM_022469.4,0.5799,0.150688,1.47004,-4.923,0.315955,,2026-04-21T13:38:22.490663+00:00
PTAFR,NM_000952.3,0.5843,0.15375,-1.45877,-4.938,-0.354325,,2026-04-21T13:38:22.490663+00:00
UBE2D1,NM_003338.4,0.5843,0.154615,-1.45561,-4.942,-0.232854,,2026-04-21T13:38:22.490663+00:00
CD84,NM_003874.3,0.5843,0.154636,1.45554,-4.942,0.159471,,2026-04-21T13:38:22.490663+00:00
PRKDC,NM_001081640.1,0.5843,0.155509,1.45237,-4.946,0.174414,,2026-04-21T13:38:22.490663+00:00
ITPR1,NM_001099952.2,0.5924,0.158603,1.44126,-4.96,0.17513,,2026-04-21T13:38:22.490663+00:00
CD38,NM_001775.2,0.5952,0.160489,-1.43456,-4.969,-0.203013,,2026-04-21T13:38:22.490663+00:00
INPP5D,NM_001017915.2,0.5952,0.161844,1.4298,-4.975,0.126832,,2026-04-21T13:38:22.490663+00:00
PPP3CC,NM_005605.4,0.5952,0.1629,1.4261,-4.98,0.455686,,2026-04-21T13:38:22.490663+00:00
RAC1,NM_006908.4,0.5952,0.163851,-1.42279,-4.984,-0.154322,,2026-04-21T13:38:22.490663+00:00
STAT5A,NM_003152.3,0.5952,0.165267,-1.41789,-4.991,-0.106621,,2026-04-21T13:38:22.490663+00:00
EFNA1,NM_182685.1,0.5952,0.166984,-1.41199,-4.998,-0.297454,,2026-04-21T13:38:22.490663+00:00
AQP7,NM_001170.2,0.5952,0.168301,1.4075,-5.004,0.357336,,2026-04-21T13:38:22.490663+00:00
CYLD,NM_001042412.1,0.5952,0.16881,1.40577,-5.006,0.160394,,2026-04-21T13:38:22.490663+00:00
CD163,NM_004244.4,0.5952,0.169151,-1.40461,-5.007,-0.352464,,2026-04-21T13:38:22.490663+00:00
TRBC1/2,,0.5952,0.169625,-1.40301,-5.009,-0.280393,ENST00000466254.1,2026-04-21T13:38:22.490663+00:00
BST2,NM_004335.2,0.5952,0.169661,-1.40289,-5.01,-0.162602,,2026-04-21T13:38:22.490663+00:00
CMKLR1,NM_004072.2,0.598,0.1714,-1.39703,-5.017,-0.244576,,2026-04-21T13:38:22.490663+00:00
PHC3,NM_024947.3,0.6,0.172911,1.39198,-5.023,0.152571,,2026-04-21T13:38:22.490663+00:00
FCRL2,NM_001159488.1,0.6008,0.174102,1.38803,-5.028,0.328999,,2026-04-21T13:38:22.490663+00:00
ACSL3,NM_203372.1,0.6096,0.177599,1.37653,-5.043,0.206373,,2026-04-21T13:38:22.490663+00:00
CXCL8,NM_000584.3,0.6183,0.181854,1.36278,-5.06,0.837075,,2026-04-21T13:38:22.490663+00:00
DAPP1,NM_014395.3,0.6183,0.182096,-1.36201,-5.061,-0.205145,,2026-04-21T13:38:22.490663+00:00
NFATC2,NM_012340.3,0.6224,0.184265,1.3551,-5.069,0.170001,,2026-04-21T13:38:22.490663+00:00
EHHADH,NM_001166415.1,0.6233,0.18738,-1.34529,-5.081,-0.248857,,2026-04-21T13:38:22.490663+00:00
SFN,NM_006142.3,0.6233,0.187427,1.34515,-5.081,0.258967,,2026-04-21T13:38:22.490663+00:00
EIF4B,NM_001417.4,0.6233,0.187491,-1.34495,-5.082,-0.109764,,2026-04-21T13:38:22.490663+00:00
ACACA,NM_198834.1,0.6312,0.191357,1.33295,-5.096,0.231232,,2026-04-21T13:38:22.490663+00:00
TGFB1,NM_000660.3,0.6312,0.191858,1.33141,-5.098,0.120616,,2026-04-21T13:38:22.490663+00:00
TREM2,NM_018965.3,0.6336,0.194199,1.32425,-5.107,0.273414,,2026-04-21T13:38:22.490663+00:00
LPL,NM_000237.2,0.6336,0.194564,-1.32314,-5.108,-0.354318,,2026-04-21T13:38:22.490663+00:00
CD70,NM_001252.2,0.6393,0.197312,1.31483,-5.118,0.257683,,2026-04-21T13:38:22.490663+00:00
NCF4,NM_000631.4,0.6398,0.198488,1.3113,-5.122,0.26242,,2026-04-21T13:38:22.490663+00:00
MALT1,NM_006785.2,0.6423,0.20164,1.30193,-5.133,0.122845,,2026-04-21T13:38:22.490663+00:00
SUMO1,NM_003352.4,0.6423,0.202059,1.30069,-5.135,0.144656,,2026-04-21T13:38:22.490663+00:00
CASP8,NM_001080124.1,0.6423,0.202304,1.29996,-5.135,0.190025,,2026-04-21T13:38:22.490663+00:00
IL21R,NM_181079.4,0.6494,0.205547,-1.29045,-5.147,-0.19185,,2026-04-21T13:38:22.490663+00:00
CARD16,NM_001017534.1,0.6508,0.207039,1.28612,-5.152,0.217759,,2026-04-21T13:38:22.490663+00:00
LILRA1,NM_001278318.1,0.6523,0.208521,-1.28183,-5.157,-0.280013,,2026-04-21T13:38:22.490663+00:00
SPAG9,NM_001130528.2,0.6545,0.210274,1.27679,-5.163,0.162978,,2026-04-21T13:38:22.490663+00:00
TOX2,NM_001098798.1,0.6546,0.211318,-1.27381,-5.166,-0.30713,,2026-04-21T13:38:22.490663+00:00
TYROBP,NM_003332.3,0.6594,0.21392,-1.26641,-5.175,-0.249232,,2026-04-21T13:38:22.490663+00:00
PSMC6,NM_002806.3,0.6685,0.219889,-1.24971,-5.194,-0.174155,,2026-04-21T13:38:22.490663+00:00
ANAPC4,NM_013367.2,0.6685,0.220196,1.24885,-5.195,0.21121,,2026-04-21T13:38:22.490663+00:00
TNFRSF14,NM_003820.3,0.6685,0.221786,-1.24446,-5.2,-0.131285,,2026-04-21T13:38:22.490663+00:00
PECAM1,NM_000442.3,0.6685,0.221826,-1.24436,-5.2,-0.205263,,2026-04-21T13:38:22.490663+00:00
VEGFA,NM_001025366.1,0.6685,0.222138,1.2435,-5.201,0.262296,,2026-04-21T13:38:22.490663+00:00
IL9R,XM_011531151.1,0.6753,0.22568,1.23382,-5.212,0.307171,,2026-04-21T13:38:22.490663+00:00
RASGRP3,NM_170672.2,0.6753,0.226761,1.23089,-5.215,0.213936,,2026-04-21T13:38:22.490663+00:00
VSIR,NM_022153.1,0.6753,0.227568,-1.2287,-5.218,-0.156612,,2026-04-21T13:38:22.490663+00:00
ICAM1,NM_000201.2,0.6808,0.231301,1.21868,-5.229,0.204279,,2026-04-21T13:38:22.490663+00:00
LPAR1,NM_001401.3,0.6808,0.231567,-1.21797,-5.23,-0.275433,,2026-04-21T13:38:22.490663+00:00
SIGLEC6,NM_001177548.1,0.6897,0.235752,-1.20689,-5.242,-0.250898,,2026-04-21T13:38:22.490663+00:00
CCNC,NM_005190.3,0.6897,0.236795,-1.20415,-5.245,-0.122955,,2026-04-21T13:38:22.490663+00:00
CD96,NM_005816.4,0.6901,0.238726,1.19911,-5.25,0.164825,,2026-04-21T13:38:22.490663+00:00
TRGV8,,0.6901,0.240513,-1.19446,-5.256,-0.293085,ENST00000390343.1,2026-04-21T13:38:22.490663+00:00
UCP1,NM_021833.4,0.6901,0.24173,-1.19131,-5.259,-0.236747,,2026-04-21T13:38:22.490663+00:00
KIR2DL1/2,NM_014219.2,0.6901,0.242774,1.18862,-5.262,0.37477,,2026-04-21T13:38:22.490663+00:00
PDGFD,NM_025208.4,0.6901,0.243179,1.18758,-5.263,0.229059,,2026-04-21T13:38:22.490663+00:00
ITGAX,NM_000887.4,0.6901,0.243694,1.18626,-5.264,0.212002,,2026-04-21T13:38:22.490663+00:00
IGHG1,,0.6901,0.247269,-1.17713,-5.274,-0.549179,ENST00000390542.1,2026-04-21T13:38:22.490663+00:00
LILRB3,NM_006864.3,0.6901,0.249029,-1.17267,-5.279,-0.247676,,2026-04-21T13:38:22.490663+00:00
TRIM2,NM_001302694.1,0.6901,0.249168,1.17232,-5.28,0.219375,,2026-04-21T13:38:22.490663+00:00
SCP2,NM_001007100.2,0.6901,0.251341,-1.16685,-5.285,-0.085907,,2026-04-21T13:38:22.490663+00:00
ITCH,NM_001257138.1,0.6901,0.251534,1.16636,-5.286,0.11886,,2026-04-21T13:38:22.490663+00:00
PCTP,NM_001102402.2,0.6901,0.252197,-1.1647,-5.288,-0.183106,,2026-04-21T13:38:22.490663+00:00
