ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
ELOVL3,NM_152310.3,0.8291,0.472336,-0.72673,-5.673,-0.149773,,2026-04-21T13:38:22.490663+00:00
ELOVL2,NM_017770.3,0.8291,0.47264,0.72623,-5.673,0.139482,,2026-04-21T13:38:22.490663+00:00
NFKB1,NM_003998.2,0.8317,0.476606,0.71969,-5.678,0.072637,,2026-04-21T13:38:22.490663+00:00
PTK2B,NM_004103.3,0.8317,0.47678,0.7194,-5.678,0.193888,,2026-04-21T13:38:22.490663+00:00
RORgt,NM_001001523.1,0.8385,0.483275,-0.70876,-5.685,-0.191937,,2026-04-21T13:38:22.490663+00:00
IL6,NM_000600.3,0.8385,0.484246,0.70718,-5.686,0.167009,,2026-04-21T13:38:22.490663+00:00
CD40,NM_001250.4,0.8385,0.48461,0.70658,-5.686,0.120885,,2026-04-21T13:38:22.490663+00:00
LGALS9,NM_002308.3,0.8466,0.491006,-0.6962,-5.693,-0.111073,,2026-04-21T13:38:22.490663+00:00
VAV2,NM_001134398.1,0.8466,0.493994,0.69138,-5.696,0.11014,,2026-04-21T13:38:22.490663+00:00
FZD7,NM_003507.1,0.8466,0.494192,0.69106,-5.697,0.18933,,2026-04-21T13:38:22.490663+00:00
CREB5,NM_182898.2,0.8466,0.495546,0.68888,-5.698,0.17422,,2026-04-21T13:38:22.490663+00:00
PTPN11,NM_002834.3,0.8466,0.497026,-0.6865,-5.7,-0.061732,,2026-04-21T13:38:22.490663+00:00
DGKZ,NM_001105540.1,0.8466,0.498796,-0.68366,-5.701,-0.052537,,2026-04-21T13:38:22.490663+00:00
LILRA4,NM_012276.3,0.8466,0.499969,-0.68178,-5.703,-0.130842,,2026-04-21T13:38:22.490663+00:00
FUT4,NM_002033.2,0.8466,0.499983,-0.68176,-5.703,-0.086816,,2026-04-21T13:38:22.490663+00:00
PIK3CD,NM_005026.3,0.8527,0.505154,-0.6735,-5.708,-0.062709,,2026-04-21T13:38:22.490663+00:00
TNFRSF9,NM_001561.4,0.8527,0.508211,0.66864,-5.711,0.112532,,2026-04-21T13:38:22.490663+00:00
CYP26A1,NM_000783.4,0.8527,0.508299,0.6685,-5.711,0.140086,,2026-04-21T13:38:22.490663+00:00
SESN1,NM_014454.2,0.8527,0.510005,-0.6658,-5.713,-0.095719,,2026-04-21T13:38:22.490663+00:00
SYK,NM_003177.5,0.8527,0.512981,-0.66109,-5.716,-0.10766,,2026-04-21T13:38:22.490663+00:00
