Symbol,Description,GeneID,log2(fold change),-log10(Pvalue)
AFAP1L2,actin filament associated protein 1 like 2,84632,1.054,1.545
WDR11-DT,WDR11 divergent transcript,283089,1.921,1.725
SCGB1C1,secretoglobin family 1C member 1,147199,1.479,1.586
DUSP8,dual specificity phosphatase 8,1850,-3.618,1.521
TNNT3,"troponin T3, fast skeletal type",7140,-1.064,1.482
PHLDA2,pleckstrin homology like domain family A member 2,7262,-3.011,1.422
NRIP3,nuclear receptor interacting protein 3,56675,-4.196,1.477
CAPN1-AS1,CAPN1 antisense RNA 1,728975,1.372,1.55
FOSL1,"FOS like 1, AP-1 transcription factor subunit",8061,-3.664,1.545
CD248,CD248 molecule,57124,-1.31,2.049
LOC107984360,,107984360,2.714,1.549
PHLDB1,pleckstrin homology like domain family B member 1,23187,-2.771,1.35
SC5D,sterol-C5-desaturase,6309,-3.033,1.487
NRGN,neurogranin,4900,1.662,1.482
ESAM,endothelial cell adhesion molecule,90952,1.332,1.302
KCNA5,potassium voltage-gated channel subfamily A member 5,3741,-1.602,1.551
LPAR5,lysophosphatidic acid receptor 5,57121,1.034,1.608
ACRBP,acrosin binding protein,84519,1.335,2.129
CDCA3,cell division cycle associated 3,83461,1.496,1.607
CLSTN3,calsyntenin 3,9746,1.321,2.363
CLEC1B,C-type lectin domain family 1 member B,51266,1.082,1.534
EMP1,epithelial membrane protein 1,2012,-2.982,1.365
SPX,spexin hormone,80763,1.592,2.088
GYS2,glycogen synthase 2,2998,1.771,2.049
RND1,Rho family GTPase 1,27289,-3.271,1.414
TROAP,trophinin associated protein,10024,1.545,1.331
TAMALIN-AS1,TAMALIN antisense RNA 1,692159,-3.962,1.68
TAMALIN,trafficking regulator and scaffold protein tamalin,160622,-3.658,1.774
KRT86,keratin 86,3892,-2.679,1.578
KRT5,keratin 5,3852,-1.572,1.514
KRT2,keratin 2,3849,-1.657,1.739
GPR84,G protein-coupled receptor 84,53831,-2.947,1.545
MMP19,matrix metallopeptidase 19,4327,-2.732,1.469
NAB2,NGFI-A binding protein 2,4665,-1.138,1.425
DDIT3,DNA damage inducible transcript 3,1649,-1.826,1.321
LINC02384,long intergenic non-protein coding RNA 2384,100507195,1.421,1.971
PHLDA1,pleckstrin homology like domain family A member 1,22822,-3.389,1.53
SDS,serine dehydratase,10993,-2.731,1.469
RGCC,regulator of cell cycle,28984,-3.292,1.529
TSC22D1,TSC22 domain family member 1,8848,1.128,2.361
DACH1,dachshund family transcription factor 1,1602,-1.231,1.83
KLF5,KLF transcription factor 5,688,-2.531,1.819
LOC105378179,uncharacterized LOC105378179,105378179,-1.022,1.549
RN7SL2,RNA component of signal recognition particle 7SL2,378706,-1.508,1.853
SAMD4A-AS1,SAMD4A antisense RNA 1,729451,1.835,3.747
LINC02284,long intergenic non-protein coding RNA 2284,102723699,1.904,1.472
