symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc
ZNF177,7730.0,zinc finger protein 177,0.287,0.607341,0.367821,1.06412,10.05,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LSMEM1,286006.0,leucine rich single-pass membrane protein 1,0.287,0.607474,0.452128,1.06381,18.59,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LCMT2,9836.0,leucine carboxyl methyltransferase 2,0.287,0.607474,-0.300215,-1.06385,107.41,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
RETREG2,79137.0,reticulophagy regulator family member 2,0.288,0.607506,0.146179,1.06355,1232.25,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IQCG,84223.0,IQ motif containing G,0.288,0.607506,0.206854,1.06353,134.3,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
RBM26-AS1,100505538.0,RBM26 antisense RNA 1,0.287,0.607506,0.413262,1.06368,31.77,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LDAF1,57146.0,lipid droplet assembly factor 1,0.288,0.607519,0.205759,1.06343,177.96,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
IREB2,3658.0,iron responsive element binding protein 2,0.288,0.607623,-0.194198,-1.06324,220.41,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SMYD2,56950.0,SET and MYND domain containing 2,0.288,0.607676,0.139416,1.0631,599.01,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
C2CD3,26005.0,C2 domain containing 3 centriole elongation regulator,0.288,0.607725,-0.130629,-1.06296,204.98,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CD46,4179.0,CD46 molecule,0.288,0.607781,-0.159829,-1.06274,2291.52,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
RCBTB2,1102.0,RCC1 and BTB domain containing protein 2,0.288,0.607781,0.298319,1.06274,1160.42,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TNFAIP8L2-SCNM1,100534012.0,TNFAIP8L2-SCNM1 readthrough,0.288,0.608094,0.144309,1.06212,557.07,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
NCBP1,4686.0,nuclear cap binding protein subunit 1,0.288,0.608094,0.226032,1.06208,476.81,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SLC46A2,57864.0,solute carrier family 46 member 2,0.288,0.608094,0.448688,1.06211,915.77,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PZP,5858.0,PZP alpha-2-macroglobulin like,0.288,0.608094,0.429195,1.06228,11.57,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MSL3P1,151507.0,MSL complex subunit 3 pseudogene 1,0.288,0.608261,0.469902,1.06178,38.13,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LRRN1,57633.0,leucine rich repeat neuronal 1,0.288,0.608261,-0.690143,-1.06173,13.11,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SEMA6A-AS1,101927233.0,SEMA6A antisense RNA 1,0.289,0.608869,0.413185,1.06102,9.39,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
POC1B-AS1,109729146.0,POC1B antisense RNA 1,0.289,0.608903,0.2992,1.0609,23.63,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PID1,55022.0,phosphotyrosine interaction domain containing 1,0.289,0.608932,-0.210371,-1.06078,599.25,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
