symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc,neg_log10_pvalue,dataset_id
SMANTIS,107985770,SMARCA4 interacting SWI/SNF chromatin remodeling complex scaffold lncRNA,3.32e-05,0.0094007,1.56922,4.14999,261.7,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.027,NOS0001
PALLD,23022,"palladin, cytoskeletal associated protein",3.47e-05,0.0094007,1.14948,4.14019,138.25,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.027,NOS0001
PDLIM1,9124,PDZ and LIM domain 1,3.46e-05,0.0094007,1.14234,4.14099,1286.39,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.027,NOS0001
TNNC2,7125,"troponin C2, fast skeletal type",3.4e-05,0.0094007,1.90153,4.14489,43.21,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.027,NOS0001
MEIS1,4211,Meis homeobox 1,4.01e-05,0.0102509,1.80046,4.1069,125.42,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.989,NOS0001
MED12L,116931,mediator complex subunit 12L,3.99e-05,0.0102509,1.41843,4.10783,42.98,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.989,NOS0001
LYPD3,27076,LY6/PLAUR domain containing 3,4.21e-05,0.010357,-4.28141,-4.09553,479.0,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.985,NOS0001
ZNF681,148213,zinc finger protein 681,4.4e-05,0.0105929,-1.25606,-4.08567,35.15,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.975,NOS0001
LINC02384,100507195,long intergenic non-protein coding RNA 2384,4.55e-05,0.0106845,1.42144,4.07783,65.76,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.971,NOS0001
LOC107985376,107985376,,6.25e-05,0.0135143,1.70571,4.00329,37.85,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.869,NOS0001
TMCC2,9911,transmembrane and coiled-coil domain family 2,6.26e-05,0.0135143,1.14534,4.0029,137.92,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.869,NOS0001
AFAP1-AS1,84740,AFAP1 antisense RNA 1,6.23e-05,0.0135143,1.39447,4.00403,20.44,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.869,NOS0001
SEC14L2,23541,SEC14 like lipid binding 2,6.39e-05,0.013622,-2.9201,-3.99785,286.73,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.866,NOS0001
LOC107984271,107984271,,6.7e-05,0.0137267,1.63856,3.98673,20.21,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.862,NOS0001
HGD,3081,"homogentisate 1,2-dioxygenase",7.02e-05,0.0140349,1.14295,3.97544,89.04,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.853,NOS0001
RN7SL2,378706,RNA component of signal recognition particle 7SL2,6.96e-05,0.0140349,-1.50754,-3.97758,87.41,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.853,NOS0001
IL1B,3553,interleukin 1 beta,7.38e-05,0.0145702,-2.94623,-3.96356,1368.85,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.837,NOS0001
DACH1,1602,dachshund family transcription factor 1,7.6e-05,0.0148076,-1.23149,-3.95677,19.76,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.83,NOS0001
KLF5,688,KLF transcription factor 5,8.06e-05,0.0151545,-2.53087,-3.94263,112.81,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.819,NOS0001
IGHV3-64,28414,immunoglobulin heavy variable 3-64,8.02e-05,0.0151545,2.77985,3.94373,72.75,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.819,NOS0001
CREM,1390,cAMP responsive element modulator,8.64e-05,0.0160057,-4.30376,-3.92594,2190.82,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.796,NOS0001
TNFRSF12A,51330,TNF receptor superfamily member 12A,8.81e-05,0.0160057,-3.58072,-3.92116,144.0,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.796,NOS0001
TPTEP1,387590,TPTE pseudogene 1,8.77e-05,0.0160057,1.6991,3.92239,156.27,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.796,NOS0001
TAMALIN,160622,trafficking regulator and scaffold protein tamalin,9.38e-05,0.0168134,-3.65753,-3.90611,588.25,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.774,NOS0001
LOC107985542,107985542,,9.47e-05,0.0168134,1.63523,3.90385,150.07,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.774,NOS0001
EDAR,10913,ectodysplasin A receptor,9.85e-05,0.0170843,-1.32822,-3.89431,127.64,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.767,NOS0001
RHOBTB1,9886,Rho related BTB domain containing 1,9.91e-05,0.0170843,1.81408,3.89285,96.3,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.767,NOS0001
TUBA8,51807,tubulin alpha 8,9.95e-05,0.0170843,1.49371,3.89176,492.33,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.767,NOS0001
IGLV3-21,28796,immunoglobulin lambda variable 3-21,0.0001,0.0170843,3.0378,3.88944,2146.91,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.767,NOS0001
PLAAT1,57110,phospholipase A and acyltransferase 1,0.000109,0.0181388,2.45864,3.86975,30.73,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.741,NOS0001
KRT2,3849,keratin 2,0.000111,0.0182189,-1.65711,-3.86614,24.68,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.739,NOS0001
CLMAT3,101927096,colorectal liver metastasis associated transcript 3,0.000117,0.0188347,2.03933,3.85303,91.41,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.725,NOS0001
WDR11-DT,283089,WDR11 divergent transcript,0.000116,0.0188347,1.92076,3.85535,33.71,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.725,NOS0001
IGHV4-30-2,28398,immunoglobulin heavy variable 4-30-2,0.000122,0.0194997,1.53184,3.84207,160.43,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.71,NOS0001
IGLV1-36,28826,immunoglobulin lambda variable 1-36,0.000127,0.020047,2.12531,3.83282,189.98,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.698,NOS0001
RRAD,6236,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator",0.000134,0.02062,-4.73492,-3.81867,465.43,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.686,NOS0001
TAMALIN-AS1,692159,TAMALIN antisense RNA 1,0.000142,0.0208775,-3.96236,-3.804,59.92,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.68,NOS0001
H2AC6,8334,H2A clustered histone 6,0.000147,0.021105,1.53716,3.79681,1864.77,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.676,NOS0001
BMP6,654,bone morphogenetic protein 6,0.000152,0.0214432,1.32025,3.78843,249.57,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.669,NOS0001
IGHV3-11,28450,immunoglobulin heavy variable 3-11,0.000151,0.0214432,2.01546,3.79009,462.1,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.669,NOS0001
BEND2,139105,BEN domain containing 2,0.000157,0.0219664,1.99135,3.78024,92.01,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.658,NOS0001
CACHD1,57685,cache domain containing 1,0.00016,0.022222,-2.11954,-3.77518,29.57,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.653,NOS0001
NPAS2,4862,neuronal PAS domain protein 2,0.000162,0.0222874,-1.43546,-3.77229,45.65,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.652,NOS0001
FSTL4,23105,follistatin like 4,0.000175,0.0236822,1.66998,3.75284,23.14,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.626,NOS0001
SYDE2,84144,synapse defective Rho GTPase homolog 2,0.000186,0.024681,-1.18725,-3.73731,58.61,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.608,NOS0001
LPAR5,57121,lysophosphatidic acid receptor 5,0.000187,0.024681,1.0345,3.73616,544.17,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.608,NOS0001
CDCA3,83461,cell division cycle associated 3,0.00019,0.0247394,1.49622,3.73234,34.03,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.607,NOS0001
PER1,5187,period circadian regulator 1,0.000192,0.0247394,-2.15742,-3.7294,1404.91,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.607,NOS0001
STON2,85439,stonin 2,0.000196,0.0248234,1.12076,3.72451,75.98,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.605,NOS0001
PF4,5196,platelet factor 4,0.000206,0.0259302,1.57287,3.71149,1646.18,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.586,NOS0001
CD83,9308,CD83 molecule,0.000211,0.0259334,-3.29496,-3.7054,3070.17,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.586,NOS0001
H2BC9,8345,H2B clustered histone 9,0.000213,0.0259334,1.50193,3.70361,84.01,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.586,NOS0001
SCGB1C1,147199,secretoglobin family 1C member 1,0.000209,0.0259334,1.47921,3.70799,31.61,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.586,NOS0001
MMD,23531,monocyte to macrophage differentiation associated,0.00021,0.0259334,1.35554,3.70642,519.67,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.586,NOS0001
VEGFA,7422,vascular endothelial growth factor A,0.000216,0.0261509,-3.11155,-3.69956,790.56,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.583,NOS0001
KRT86,3892,keratin 86,0.000222,0.0264328,-2.67879,-3.69302,49.98,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.578,NOS0001
UBE2C,11065,ubiquitin conjugating enzyme E2 C,0.000235,0.027824,1.60302,3.67806,55.79,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.556,NOS0001
MED18,54797,mediator complex subunit 18,0.000245,0.0281239,1.26644,3.66715,103.69,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
PDE4D,5144,phosphodiesterase 4D,0.000254,0.0281239,-2.09982,-3.65826,254.64,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,1.551,NOS0001
